Time,Apple,Microsoft,Amazon.com,Google,Meta,Nvidia,Tesla,Berkshire Hathaway,JPMorgan Chase & Co,Johnson & Johnson,Visa,Procter & Gamble,ExxonMobil,UnitedHealth Group Inc,Home Depot,Mastercard,Pfizer,Bank of America,CHEVRON CORP.,Walmart,Abbott Laboratories,The Coca-Cola Company,"PepsiCo, Inc.",Netflix,The Walt Disney Company,"Argan, Inc.","Photronic Co., Ltd.",Buckle,"Kulicke and Soffa Industries, Inc.",Vera Bradley,Natural Health Trends Corporation,Envela,Westwood Holdings Group Inc,Ultralife Corporation,"Mesa Laboratories, Inc.",ProQR,Omega Healthcare,Hallmark,Lifeway Foods,IDT Corporation,Global Indemnity Group LLC,"Adams Resources & Energy, Inc.","P & F Industries, Inc.",Miller Industries,"Coda Octopus Group, Inc.",BRT Realty Trust,Westell,Sievert AB,Broadmark Realty Capital Inc.,Direct Digital Holdings
1/6/2021,18,7,25,55,10,4,13,0,9,29,4,1,3,1,7,2,31,1,1,9,1,7,1,28,64,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2021,15,6,26,51,10,3,13,0,8,100,4,1,3,1,6,3,31,2,0,8,0,2,1,29,62,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2021,13,5,24,51,12,3,11,0,7,54,4,1,2,1,6,2,30,2,0,9,1,2,1,31,66,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2021,22,6,27,56,14,2,11,0,7,15,4,1,2,1,6,3,18,2,1,11,1,2,1,25,55,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2021,21,6,27,59,49,3,15,1,7,17,5,1,3,1,6,4,17,3,1,10,0,2,1,35,63,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2021,15,7,28,55,26,4,17,0,8,16,7,1,3,1,7,3,21,1,0,12,0,2,1,29,66,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2021,16,6,31,54,19,3,16,0,8,12,5,1,3,1,6,2,19,2,0,12,0,2,1,30,61,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2022,17,12,24,52,17,4,16,0,9,13,6,1,3,1,5,3,14,2,0,9,1,2,1,39,65,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2022,15,7,25,59,26,4,12,0,7,7,5,1,3,1,5,4,8,1,1,7,1,2,1,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2022,18,7,22,62,18,4,12,0,8,4,8,2,4,1,5,6,11,2,1,8,0,4,2,31,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2022,16,8,24,59,18,3,15,0,8,4,4,2,3,1,7,4,5,2,1,8,0,3,1,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2022,15,7,25,63,24,3,12,0,8,4,4,2,2,1,7,3,7,1,1,9,1,3,1,31,71,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2022,14,7,25,62,15,2,12,0,8,3,4,1,3,1,6,3,3,2,1,8,1,2,1,31,83,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2022,13,7,28,61,20,3,10,0,8,3,4,1,2,1,7,3,3,2,0,9,0,2,1,35,60,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2022,16,6,27,64,23,3,11,1,7,3,4,1,2,1,6,3,3,2,1,9,0,2,1,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2022,22,6,26,64,23,4,9,0,6,3,4,1,2,1,5,3,2,2,1,7,0,2,1,29,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2022,16,8,27,64,18,3,10,0,8,3,4,2,3,1,4,3,7,2,1,7,0,3,1,33,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2022,15,6,32,60,14,3,11,0,8,3,4,2,2,1,4,3,3,1,1,11,0,3,1,30,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2022,13,6,27,57,12,2,13,0,6,3,4,1,1,1,3,3,4,1,1,8,0,2,1,38,63,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,13,12,24,59,24,3,17,0,10,3,5,1,2,1,3,3,8,3,1,6,0,2,1,36,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023,13,9,24,63,27,3,14,0,7,3,4,1,2,1,3,3,5,1,1,6,0,2,1,39,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023,11,9,23,58,10,3,12,0,12,3,4,2,2,0,3,3,3,4,1,7,0,2,1,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2023,13,9,24,60,10,2,13,0,9,4,4,2,2,1,5,3,2,2,1,8,0,2,1,31,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,13,8,20,55,8,6,11,1,12,3,4,1,2,0,5,3,2,2,1,6,0,2,1,31,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2023,17,8,22,46,8,5,13,0,10,3,4,1,1,1,5,3,2,2,1,6,0,2,1,33,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2023,17,10,21,46,8,4,15,0,10,4,4,1,2,1,4,3,3,3,0,6,0,2,1,27,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2023,18,7,20,43,7,8,14,1,8,4,4,1,2,1,4,3,2,2,1,6,0,2,1,24,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
