ticker,company,date,article_count
AAPL,Apple,2026-05-19,1328
AAPL,Apple,2026-05-20,1277
AAPL,Apple,2026-05-21,1240
AAPL,Apple,2026-05-22,877
AAPL,Apple,2026-05-23,506
AAPL,Apple,2026-05-24,623
AAPL,Apple,2026-05-25,1018
AAPL,Apple,2026-05-26,1288
AAPL,Apple,2026-05-27,1290
AAPL,Apple,2026-05-28,1169
AAPL,Apple,2026-05-29,819
AAPL,Apple,2026-05-30,597
AAPL,Apple,2026-05-31,997
AAPL,Apple,2026-06-01,1327
AAPL,Apple,2026-06-02,1304
AAPL,Apple,2026-06-03,1346
AAPL,Apple,2026-06-04,1325
AAPL,Apple,2026-06-05,954
AAPL,Apple,2026-06-06,633
AAPL,Apple,2026-06-07,1432
AAPL,Apple,2026-06-08,2016
AAPL,Apple,2026-06-09,1625
AAPL,Apple,2026-06-10,1449
AAPL,Apple,2026-06-11,1387
AAPL,Apple,2026-06-12,1011
AAPL,Apple,2026-06-13,648
AAPL,Apple,2026-06-14,983
AAPL,Apple,2026-06-15,1439
AAPL,Apple,2026-06-16,1403
AAPL,Apple,2026-06-17,364
MSFT,Microsoft,2026-05-19,860
MSFT,Microsoft,2026-05-20,829
MSFT,Microsoft,2026-05-21,690
MSFT,Microsoft,2026-05-22,411
MSFT,Microsoft,2026-05-23,228
MSFT,Microsoft,2026-05-24,283
MSFT,Microsoft,2026-05-25,492
MSFT,Microsoft,2026-05-26,640
MSFT,Microsoft,2026-05-27,703
MSFT,Microsoft,2026-05-28,708
MSFT,Microsoft,2026-05-29,518
MSFT,Microsoft,2026-05-30,293
MSFT,Microsoft,2026-05-31,611
MSFT,Microsoft,2026-06-01,981
MSFT,Microsoft,2026-06-02,934
MSFT,Microsoft,2026-06-03,807
MSFT,Microsoft,2026-06-04,677
MSFT,Microsoft,2026-06-05,443
MSFT,Microsoft,2026-06-06,350
MSFT,Microsoft,2026-06-07,656
MSFT,Microsoft,2026-06-08,831
MSFT,Microsoft,2026-06-09,1086
MSFT,Microsoft,2026-06-10,1117
MSFT,Microsoft,2026-06-11,736
MSFT,Microsoft,2026-06-12,489
MSFT,Microsoft,2026-06-13,316
MSFT,Microsoft,2026-06-14,532
MSFT,Microsoft,2026-06-15,864
MSFT,Microsoft,2026-06-16,825
MSFT,Microsoft,2026-06-17,235
AMZN,Amazon,2026-05-19,1857
AMZN,Amazon,2026-05-20,1781
AMZN,Amazon,2026-05-21,1616
AMZN,Amazon,2026-05-22,1090
AMZN,Amazon,2026-05-23,687
AMZN,Amazon,2026-05-24,985
AMZN,Amazon,2026-05-25,1470
AMZN,Amazon,2026-05-26,1689
AMZN,Amazon,2026-05-27,1788
AMZN,Amazon,2026-05-28,1727
AMZN,Amazon,2026-05-29,1187
AMZN,Amazon,2026-05-30,772
AMZN,Amazon,2026-05-31,1242
AMZN,Amazon,2026-06-01,1815
AMZN,Amazon,2026-06-02,1826
AMZN,Amazon,2026-06-03,1798
AMZN,Amazon,2026-06-04,1682
AMZN,Amazon,2026-06-05,1164
AMZN,Amazon,2026-06-06,835
AMZN,Amazon,2026-06-07,1372
AMZN,Amazon,2026-06-08,1859
AMZN,Amazon,2026-06-09,1942
AMZN,Amazon,2026-06-10,1989
AMZN,Amazon,2026-06-11,1879
AMZN,Amazon,2026-06-12,1372
AMZN,Amazon,2026-06-13,916
AMZN,Amazon,2026-06-14,1408
AMZN,Amazon,2026-06-15,2004
AMZN,Amazon,2026-06-16,2040
AMZN,Amazon,2026-06-17,569
GOOGL,Alphabet,2026-05-19,120
GOOGL,Alphabet,2026-05-20,108
GOOGL,Alphabet,2026-05-21,95
GOOGL,Alphabet,2026-05-22,62
GOOGL,Alphabet,2026-05-23,33
GOOGL,Alphabet,2026-05-24,45
GOOGL,Alphabet,2026-05-25,77
GOOGL,Alphabet,2026-05-26,89
GOOGL,Alphabet,2026-05-27,89
GOOGL,Alphabet,2026-05-28,88
